Movie Number,Disney+ Score,Netflix Score
1,76,98
2,67,97
3,59,95
4,67,94
5,62,94
6,60,94
7,72,93
8,59,92
9,58,92
10,57,92
11,56,92
12,44,92
13,42,92
14,96,91
15,90,91
16,90,91
17,89,90
18,89,90
19,89,90
20,89,90
21,89,90
22,88,89
23,88,89
24,88,89
25,88,89
26,88,89
27,87,89
28,87,89
29,87,89
30,87,89
31,86,89
32,86,89
33,86,89
34,86,88
35,86,88
36,86,88
37,86,88
38,86,88
39,85,87
40,85,87
41,85,87
42,85,87
43,85,87
44,85,87
45,84,87
46,84,87
47,84,87
48,84,87
49,84,87
50,84,87
51,84,87
52,83,86
53,83,86
54,83,86
55,83,86
56,83,86
57,83,86
58,83,86
59,83,86
60,83,86
61,82,86
62,82,85
63,82,85
64,82,85
65,82,85
66,82,85
67,82,85
68,82,85
69,82,84
70,82,84
71,81,84
72,81,84
73,81,84
74,81,84
75,81,84
76,81,84
77,81,84
78,81,84
79,81,84
80,81,84
81,81,84
82,80,84
83,80,84
84,80,84
85,80,84
86,80,84
87,80,84
88,80,83
89,79,83
90,79,83
91,79,83
92,79,83
93,79,83
94,79,83
95,79,83
96,79,83
97,78,83
98,78,83
99,78,83
100,78,83
101,78,83
102,78,83
103,78,83
104,78,83
105,78,82
106,78,82
107,78,82
108,77,82
109,77,82
110,77,82
111,77,82
112,77,82
113,77,82
114,77,82
115,76,82
116,76,82
117,76,82
118,76,82
119,76,81
120,76,81
121,76,81
122,76,81
123,76,81
124,76,81
125,76,81
126,76,81
127,76,81
128,76,81
129,76,81
130,75,81
131,75,81
132,75,81
133,75,80
134,75,80
135,75,80
136,75,80
137,75,80
138,75,80
139,75,80
140,75,80
141,75,80
142,75,80
143,75,80
144,75,80
145,74,80
146,74,80
147,74,80
148,74,80
149,74,79
150,74,79
151,74,79
152,74,79
153,74,79
154,74,79
155,74,79
156,74,79
157,74,79
158,73,79
159,73,79
160,73,79
161,73,79
162,73,79
163,73,79
164,73,79
165,73,79
166,73,79
167,73,79
168,72,79
169,72,78
170,72,78
171,72,78
172,72,78
173,72,78
174,72,78
175,72,78
176,72,78
177,72,78
178,72,78
179,72,78
180,72,78
181,72,78
182,72,78
183,71,78
184,71,78
185,71,78
186,71,77
187,71,77
188,71,77
189,71,77
190,71,77
191,71,77
192,71,77
193,71,77
194,71,77
195,71,77
196,70,77
197,70,77
198,70,77
199,70,77
200,70,77
201,70,77
202,70,77
203,70,77
204,70,77
205,70,77
206,70,76
207,70,76
208,70,76
209,70,76
210,70,76
211,69,76
212,69,76
213,69,76
214,69,76
215,69,76
216,69,76
217,69,76
218,69,76
219,69,76
220,69,76
221,69,76
222,69,76
223,69,76
224,69,76
225,68,76
226,68,76
227,68,76
228,68,76
229,68,76
230,68,76
231,68,76
232,68,76
233,68,76
234,68,76
235,68,76
236,68,75
237,68,75
238,68,75
239,68,75
240,68,75
241,67,75
242,67,75
243,67,75
244,67,75
245,67,75
246,67,75
247,67,75
248,67,75
249,67,75
250,67,75
251,67,75
252,67,75
253,67,75
254,66,75
255,66,75
256,66,75
257,66,75
258,66,75
259,66,75
260,66,75
261,66,75
262,66,75
263,66,75
264,66,75
265,66,75
266,66,75
267,66,75
268,66,75
269,66,74
270,66,74
271,66,74
272,66,74
273,66,74
274,66,74
275,66,74
276,66,74
277,66,74
278,65,74
279,65,74
280,65,74
281,65,74
282,65,74
283,65,74
284,65,74
285,65,74
286,65,74
287,65,74
288,65,74
289,65,74
290,65,74
291,65,74
292,65,74
293,65,74
294,65,74
295,65,74
296,65,74
297,64,74
298,64,74
299,64,74
300,64,74
301,64,74
302,64,74
303,64,74
304,64,73
305,64,73
306,64,73
307,64,73
308,64,73
309,64,73
310,64,73
311,64,73
312,64,73
313,64,73
314,64,73
315,64,73
316,64,73
317,64,73
318,64,73
319,64,73
320,63,73
321,63,73
322,63,73
323,63,73
324,63,73
325,63,73
326,63,73
327,63,73
328,63,73
329,63,73
330,63,73
331,63,73
332,63,73
333,63,73
334,63,73
335,63,73
336,63,73
337,63,73
338,63,73
339,63,73
340,63,73
341,62,73
342,62,73
343,62,72
344,62,72
345,62,72
346,62,72
347,62,72
348,62,72
349,62,72
350,62,72
351,62,72
352,62,72
353,62,72
354,62,72
355,62,72
356,62,72
357,62,72
358,62,72
359,62,72
360,62,72
361,62,72
362,62,72
363,62,72
364,61,72
365,61,72
366,61,72
367,61,72
368,61,72
369,61,72
370,61,72
371,61,72
372,61,72
373,61,72
374,61,72
375,61,72
376,61,72
377,61,72
378,61,72
379,61,72
380,61,72
381,61,72
382,61,72
383,61,72
384,61,72
385,61,72
386,61,72
387,61,72
388,61,72
389,61,71
390,61,71
391,61,71
392,60,71
393,60,71
394,60,71
395,60,71
396,60,71
397,60,71
398,60,71
399,60,71
400,60,71
401,60,71
402,60,71
403,60,71
404,60,71
405,60,71
406,60,71
407,60,71
408,60,71
409,60,71
410,59,71
411,59,71
412,59,71
413,59,71
414,59,71
415,59,71
416,59,71
417,59,71
418,59,71
419,59,71
420,59,71
421,59,71
422,59,71
423,59,71
424,59,71
425,59,71
426,59,71
427,59,70
428,59,70
429,59,70
430,58,70
431,58,70
432,58,70
433,58,70
434,58,70
435,58,70
436,58,70
437,58,70
438,58,70
439,58,70
440,58,70
441,58,70
442,58,70
443,58,70
444,58,70
445,58,70
446,58,70
447,58,70
448,58,70
449,58,70
450,58,70
451,58,70
452,58,70
453,58,70
454,58,70
455,57,70
456,57,70
457,57,70
458,57,70
459,57,70
460,57,70
461,57,70
462,57,70
463,57,70
464,57,70
465,57,70
466,57,70
467,57,70
468,57,70
469,57,70
470,57,70
471,57,70
472,57,70
473,57,70
474,57,69
475,57,69
476,57,69
477,57,69
478,57,69
479,57,69
480,57,69
481,56,69
482,56,69
483,56,69
484,56,69
485,56,69
486,56,69
487,56,69
488,56,69
489,56,69
490,56,69
491,56,69
492,56,69
493,56,69
494,56,69
495,56,69
496,56,69
497,56,69
498,56,69
499,56,69
500,56,69
501,56,69
502,56,69
503,56,69
504,56,69
505,56,69
506,56,69
507,56,69
508,55,69
509,55,69
510,55,69
511,55,69
512,55,69
513,55,68
514,55,68
515,55,68
516,55,68
517,55,68
518,55,68
519,54,68
520,54,68
521,54,68
522,54,68
523,54,68
524,54,68
525,54,68
526,54,68
527,54,68
528,54,68
529,54,68
530,54,68
531,54,68
532,54,68
533,54,68
534,54,68
535,54,68
536,54,68
537,54,68
538,54,68
539,54,68
540,53,68
541,53,68
542,53,68
543,53,68
544,53,68
545,53,68
546,53,68
547,53,67
548,53,67
549,53,67
550,53,67
551,53,67
552,53,67
553,53,67
554,53,67
555,53,67
556,52,67
557,52,67
558,52,67
559,52,67
560,52,67
561,52,67
562,52,67
